policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp,funding_category,impact_category,summary_word_count,goals_word_count,fulltext_word_count,total_text_length
P1237,National Secondary Education Reform 84,Secondary,Punjab,2023,Disadvantaged Groups,Implemented,9.63,"Edtech Companies, Universities",0.91,This policy aims to improve digital access in Secondary by providing teacher training programs across Punjab. It focuses on literacy and numeracy.,"Train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Secondary by providing teacher training programs across Punjab. It focuses on literacy and numeracy. Goals: Train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity.","policy id: p1237. title: national secondary education reform 84. sector: secondary. region: punjab. year: 2023. target group: disadvantaged groups. status: implemented. funding: $9.63m usd. impact score: 0.91. stakeholders: edtech companies, universities. summary: this policy aims to improve digital access in secondary by providing teacher training programs across punjab. it focuses on literacy and numeracy.. goals: train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.. full description: this policy aims to improve digital access in secondary by providing teacher training programs across punjab. it focuses on literacy and numeracy. goals: train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. includes evaluation. focus on equity.",High,Very High Impact,22,15,43,80
P1402,State Secondary Education Reform 96,Primary,Punjab,2020,Rural Students,Proposed,99.75,"Edtech Companies, Universities",0.526,"Policy to enhance infrastructure and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Includes evaluation.","policy id: p1402. title: state secondary education reform 96. sector: primary. region: punjab. year: 2020. target group: rural students. status: proposed. funding: $99.75m usd. impact score: 0.526. stakeholders: edtech companies, universities. summary: policy to enhance infrastructure and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance infrastructure and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. includes evaluation.",Very High,High Impact,16,12,34,62
P1371,District Higher Education Education Reform 30,Early Childhood,Karnataka,2022,Women,Under Review,0.28,"Central Government, Donors",0.464,"Policy to enhance digital access and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement.",Increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance digital access and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Focus on equity.","policy id: p1371. title: district higher education education reform 30. sector: early childhood. region: karnataka. year: 2022. target group: women. status: under review. funding: $0.28m usd. impact score: 0.464. stakeholders: central government, donors. summary: policy to enhance digital access and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement.. goals: increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas.. full description: policy to enhance digital access and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement. goals: increase digital access score by 33% within 2 years and reduce disparities between rural and urban areas. budget allocations defined. focus on equity.",Low,Medium Impact,18,17,42,77
P1246,District Early Childhood Education Reform 74,Early Childhood,Tamil Nadu,2022,Disadvantaged Groups,Under Review,0.92,"Teachers' Unions, Community Leaders",0.387,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Disadvantaged Groups and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Disadvantaged Groups and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Stakeholder consultations planned.","policy id: p1246. title: district early childhood education reform 74. sector: early childhood. region: tamil nadu. year: 2022. target group: disadvantaged groups. status: under review. funding: $0.92m usd. impact score: 0.387. stakeholders: teachers' unions, community leaders. summary: a nationwide/state-level initiative to strengthen digital access through grants to schools. targets disadvantaged groups and aims to reduce dropout rates.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen digital access through grants to schools. targets disadvantaged groups and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. stakeholder consultations planned.",Low,Medium Impact,20,12,38,70
P1442,State Early Childhood Education Reform 13,Early Childhood,Tamil Nadu,2015,Women,Pilot,0.33,"Ministry Of Education, Local Ngos",0.358,"Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Stakeholder consultations planned.","policy id: p1442. title: state early childhood education reform 13. sector: early childhood. region: tamil nadu. year: 2015. target group: women. status: pilot. funding: $0.33m usd. impact score: 0.358. stakeholders: ministry of education, local ngos. summary: policy to enhance infrastructure and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance infrastructure and community participation using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. stakeholder consultations planned.",Low,Medium Impact,16,12,35,63
P1031,State Early Childhood Education Reform 43,Higher Education,Gujarat,2019,Rural Students,Under Review,6.81,"State Education Department, Private Partners",0.381,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy.,Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy. Goals: Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.,"policy id: p1031. title: state early childhood education reform 43. sector: higher education. region: gujarat. year: 2019. target group: rural students. status: under review. funding: $6.81m usd. impact score: 0.381. stakeholders: state education department, private partners. summary: this policy aims to improve vocational skills in higher education by providing scholarship schemes across gujarat. it focuses on literacy and numeracy.. goals: increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas.. full description: this policy aims to improve vocational skills in higher education by providing scholarship schemes across gujarat. it focuses on literacy and numeracy. goals: increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. budget allocations defined. includes evaluation.",High,Medium Impact,22,17,45,84
P1167,District Primary Education Reform 77,Primary,Maharashtra,2025,All,Proposed,3.6,"Central Government, Donors",0.495,"Policy to enhance learning outcomes and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.,"Policy to enhance learning outcomes and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Budget allocations defined.","policy id: p1167. title: district primary education reform 77. sector: primary. region: maharashtra. year: 2025. target group: all. status: proposed. funding: $3.6m usd. impact score: 0.495. stakeholders: central government, donors. summary: policy to enhance learning outcomes and safety standards using scholarship schemes. includes capacity-building, monitoring and community engagement.. goals: increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.. full description: policy to enhance learning outcomes and safety standards using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas. stakeholder consultations planned. budget allocations defined.",Medium,Medium Impact,17,17,41,75
P1398,State Vocational Education Reform 61,Primary,West Bengal,2019,Women,Implemented,18.05,"Edtech Companies, Universities",0.799,This policy aims to improve vocational skills in Primary by providing scholarship schemes across West Bengal. It focuses on marginalized communities.,"Train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Primary by providing scholarship schemes across West Bengal. It focuses on marginalized communities. Goals: Train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Timeline set.","policy id: p1398. title: state vocational education reform 61. sector: primary. region: west bengal. year: 2019. target group: women. status: implemented. funding: $18.05m usd. impact score: 0.799. stakeholders: edtech companies, universities. summary: this policy aims to improve vocational skills in primary by providing scholarship schemes across west bengal. it focuses on marginalized communities.. goals: train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.. full description: this policy aims to improve vocational skills in primary by providing scholarship schemes across west bengal. it focuses on marginalized communities. goals: train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. focus on equity. timeline set.",High,Very High Impact,21,15,42,78
P1491,State Higher Education Education Reform 9,Secondary,Delhi,2016,Women,Implemented,51.94,"Ministry Of Education, Local Ngos",0.586,This policy aims to improve learning outcomes in Secondary by providing scholarship schemes across Delhi. It focuses on urban inclusion.,"Train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Secondary by providing scholarship schemes across Delhi. It focuses on urban inclusion. Goals: Train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Includes evaluation.","policy id: p1491. title: state higher education education reform 9. sector: secondary. region: delhi. year: 2016. target group: women. status: implemented. funding: $51.94m usd. impact score: 0.586. stakeholders: ministry of education, local ngos. summary: this policy aims to improve learning outcomes in secondary by providing scholarship schemes across delhi. it focuses on urban inclusion.. goals: train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.. full description: this policy aims to improve learning outcomes in secondary by providing scholarship schemes across delhi. it focuses on urban inclusion. goals: train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. focus on equity. includes evaluation.",Very High,High Impact,20,15,41,76
P1409,District Vocational Education Reform 89,Higher Education,Rajasthan,2020,Women,Implemented,3.48,"Ministry Of Education, Local Ngos",0.311,"Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Focus on equity.","policy id: p1409. title: district vocational education reform 89. sector: higher education. region: rajasthan. year: 2020. target group: women. status: implemented. funding: $3.48m usd. impact score: 0.311. stakeholders: ministry of education, local ngos. summary: policy to enhance infrastructure and governance using teacher training programs. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance infrastructure and governance using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. focus on equity.",Medium,Medium Impact,16,12,34,62
